project_id,plotid,plotid_old,x,y
33,1,4,4183821.97572801,2704400.47822648
33,2,8,4158471.53233909,2616201.47978998
33,3,9,4127043.68941437,2611111.25688795
33,4,15,4277237.12604087,2644705.08192569
33,5,16,4245594.34996747,2643956.86318951
33,6,17,4261445.82831744,2592049.86370926
33,7,23,4158076.27399221,2690278.69580583
33,8,26,4126040.75863413,2549607.88114905
33,9,28,4243446.49512453,2591930.66048163
33,10,34,4180424.24456054,2588363.42185583
33,11,36,4171288.97756314,2567746.29192651
33,12,38,4229881.19426399,2639221.6975094
33,13,39,4175821.13902938,2567381.93634571
33,14,43,4082339.70680026,2570199.58105482
33,15,45,4183668.05345649,2642920.88135884
33,16,48,4165964.94266091,2669232.31629587
33,17,51,4094277.2296046,2606771.82903852
33,18,54,4157791.11357719,2616990.86276482
33,19,63,4281599.44753185,2633552.61090532
33,20,64,4235862.21245208,2655544.25726972
33,21,67,4236047.41197016,2547269.68406896
33,22,71,4035566.54460611,2615108.58464262
33,23,72,4193389.20133221,2712454.9414273
33,24,83,4199711.63657846,2713626.62566007
33,25,84,4265567.23447602,2615742.39555339
33,26,85,4226979.58654877,2635572.76726231
33,27,88,4211442.21511334,2646551.9298492
33,28,90,4154835.78476009,2575417.61471473
33,29,95,4137781.44057434,2672816.32058781
33,30,100,4180634.45438095,2701835.85202176
33,31,103,4244037.2117506,2701830.80796528
33,32,108,4102151.18903843,2667251.62703473
33,33,110,4239675.71026712,2572223.45046066
33,34,111,4129004.94051774,2690158.23817524
33,35,119,4229082.22740442,2594074.09969299
33,36,120,4193453.5575429,2601312.62306871
33,37,124,4140398.60790483,2675387.5103991
33,38,132,4217097.68140617,2582844.68082854
33,39,137,4080215.76401515,2568613.37457448
33,40,147,4090150.46390158,2661343.38010941
33,41,148,4095254.68704154,2607986.32260382
33,42,149,4200235.06030833,2698712.16724938
33,43,152,4280357.57343124,2623433.65856662
33,44,153,4205427.73189702,2684813.26404914
33,45,156,4028682.70617452,2605714.45969862
33,46,163,4172723.48183766,2626252.90289292
33,47,167,4275762.12299541,2609521.06310884
33,48,168,4135203.48676542,2691087.86659774
33,49,169,4110978.29917491,2604692.89683312
33,50,170,4098392.32854093,2544416.73132096
33,51,171,4058476.49013943,2652647.97029215
33,52,178,4157689.53559283,2627427.23980475
33,53,181,4349128.06544674,2633410.53585271
33,54,188,4139609.08128454,2645560.37248848
33,55,189,4160678.48823282,2714236.05068536
33,56,195,4248546.28454788,2663020.28501929
33,57,204,4031400.15109314,2609028.88868319
33,58,205,4038312.45716196,2607361.66784366
33,59,208,4274235.69502262,2686640.36530186
33,60,212,4104303.83459851,2597507.1951877
33,61,218,4132783.83729123,2714396.84279883
33,62,219,4277642.38950292,2664432.25664099
33,63,222,4211721.13135935,2562261.88710126
33,64,223,4051665.05193646,2637522.09503101
